# u,v,w,phi,theta,psi,alpha,beta,gamma,time
8.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
8.510042443093388442e+01,0.000000000000000000e+00,1.520237466657475556e-01,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,1.786402194441510504e-03,0.000000000000000000e+00,9.821359780555849461e-02,1.000000000000000056e-01
8.520230135454876574e+01,0.000000000000000000e+00,7.999242181459639833e-02,0.000000000000000000e+00,9.744322739964099422e-02,0.000000000000000000e+00,9.388525549183942241e-04,0.000000000000000000e+00,9.650437484472260130e-02,2.000000000000000111e-01
8.530565419113408154e+01,0.000000000000000000e+00,-1.837551458199306043e-01,0.000000000000000000e+00,9.253012753356579245e-02,0.000000000000000000e+00,-2.154075991229252411e-03,0.000000000000000000e+00,9.468420352479504920e-02,3.000000000000000444e-01
8.540940750725209796e+01,0.000000000000000000e+00,-6.038496043750034570e-01,0.000000000000000000e+00,8.552501686441187079e-02,0.000000000000000000e+00,-7.069941836735599804e-03,0.000000000000000000e+00,9.259495870114746452e-02,4.000000000000000222e-01
8.551212412179036448e+01,0.000000000000000000e+00,-1.143646123073810195e+00,0.000000000000000000e+00,7.673731874930402042e-02,0.000000000000000000e+00,-1.337328426400338603e-02,0.000000000000000000e+00,9.011060301330740818e-02,5.000000000000000000e-01
8.561261179858200876e+01,0.000000000000000000e+00,-1.766810633777904815e+00,0.000000000000000000e+00,6.650341508606134877e-02,0.000000000000000000e+00,-2.063434153367666932e-02,0.000000000000000000e+00,8.713775661973802156e-02,5.999999999999999778e-01
8.571033406914679631e+01,0.000000000000000000e+00,-2.438697422374329626e+00,0.000000000000000000e+00,5.516982098188658729e-02,0.000000000000000000e+00,-2.844510731477444682e-02,0.000000000000000000e+00,8.361492829666103410e-02,6.999999999999999556e-01
8.580560565446263865e+01,0.000000000000000000e+00,-3.127486979268910616e+00,0.000000000000000000e+00,4.307822797213128885e-02,0.000000000000000000e+00,-3.643238817284987635e-02,0.000000000000000000e+00,7.951061614498117214e-02,7.999999999999999334e-01
8.589959076715962283e+01,0.000000000000000000e+00,-3.805063839056460839e+00,0.000000000000000000e+00,3.055279537828946290e-02,0.000000000000000000e+00,-4.426770808336102925e-02,0.000000000000000000e+00,7.482050346165049215e-02,8.999999999999999112e-01
8.599414850100161800e+01,0.000000000000000000e+00,-4.447627159610835434e+00,0.000000000000000000e+00,1.788990940746405106e-02,0.000000000000000000e+00,-5.167407123876835429e-02,0.000000000000000000e+00,6.956398064623239841e-02,9.999999999999998890e-01
8.609158246958956795e+01,0.000000000000000000e+00,-5.036040778720678013e+00,0.000000000000000000e+00,5.350483622075900836e-03,0.000000000000000000e+00,-5.842973561532876364e-02,0.000000000000000000e+00,6.378021923740466448e-02,1.099999999999999867e+00
8.619435301994663234e+01,0.000000000000000000e+00,-5.555942566261763638e+00,0.000000000000000000e+00,-6.845251548781025944e-03,0.000000000000000000e+00,-6.436926260578330894e-02,0.000000000000000000e+00,5.752401105700228473e-02,1.199999999999999956e+00
8.630480245739761358e+01,0.000000000000000000e+00,-5.997643310029682873e+00,0.000000000000000000e+00,-1.852062463351798402e-02,0.000000000000000000e+00,-6.938219026619661667e-02,0.000000000000000000e+00,5.086156563267862918e-02,1.300000000000000044e+00
8.642493025497213921e+01,0.000000000000000000e+00,-6.355852044181048655e+00,0.000000000000000000e+00,-2.954329509430577219e-02,0.000000000000000000e+00,-7.340972931446321237e-02,0.000000000000000000e+00,4.386643422015744365e-02,1.400000000000000133e+00
8.655623964213440047e+01,0.000000000000000000e+00,-6.629267419648549264e+00,0.000000000000000000e+00,-3.982420352553654730e-02,0.000000000000000000e+00,-7.643990405773379293e-02,0.000000000000000000e+00,3.661570053219724563e-02,1.500000000000000222e+00
8.669966214543923400e+01,0.000000000000000000e+00,-6.820073943915930137e+00,0.000000000000000000e+00,-4.931501044888295798e-02,0.000000000000000000e+00,-7.850155882882327296e-02,0.000000000000000000e+00,2.918654837994031498e-02,1.600000000000000311e+00
8.685555456387390905e+01,0.000000000000000000e+00,-6.933378658633853497e+00,0.000000000000000000e+00,-5.800434295355263309e-02,0.000000000000000000e+00,-7.965762937347263539e-02,0.000000000000000000e+00,2.165328641992000230e-02,1.700000000000000400e+00
8.702375452429578218e+01,0.000000000000000000e+00,-6.976619177640236202e+00,0.000000000000000000e+00,-6.591316203405775398e-02,0.000000000000000000e+00,-7.999804347573748198e-02,0.000000000000000000e+00,1.408488144167972800e-02,1.800000000000000488e+00
8.720367636390001564e+01,0.000000000000000000e+00,-6.958968932057192802e+00,0.000000000000000000e+00,-7.308954599078597292e-02,0.000000000000000000e+00,-7.963257118315335281e-02,0.000000000000000000e+00,6.543025192367379894e-03,1.900000000000000577e+00
8.739442820083932872e+01,0.000000000000000000e+00,-6.890760627466215205e+00,0.000000000000000000e+00,-7.960316039562616297e-02,0.000000000000000000e+00,-7.868389673895115344e-02,0.000000000000000000e+00,-9.192636566750095328e-04,2.000000000000000444e+00
8.759493288734816474e+01,0.000000000000000000e+00,-6.782944650087190830e+00,0.000000000000000000e+00,-8.553965584715585158e-02,0.000000000000000000e+00,-7.728113511041843908e-02,0.000000000000000000e+00,-8.258520736737412493e-03,2.100000000000000533e+00
8.780403914955954292e+01,0.000000000000000000e+00,-6.646595533217275253e+00,0.000000000000000000e+00,-9.099520316948975229e-02,0.000000000000000000e+00,-7.555396807752076671e-02,0.000000000000000000e+00,-1.544123509196898558e-02,2.200000000000000622e+00
8.802061368105316319e+01,0.000000000000000000e+00,-6.492476507560762222e+00,0.000000000000000000e+00,-9.607134320845182873e-02,0.000000000000000000e+00,-7.362752951844583893e-02,0.000000000000000000e+00,-2.244381369000598980e-02,2.300000000000000711e+00
8.824360948036138552e+01,0.000000000000000000e+00,-6.330669433905282695e+00,0.000000000000000000e+00,-1.008702957362189040e-01,0.000000000000000000e+00,-7.161812741066807264e-02,0.000000000000000000e+00,-2.925216832555083135e-02,2.400000000000000799e+00
8.847210970714883160e+01,0.000000000000000000e+00,-6.170274887762193572e+00,0.000000000000000000e+00,-1.054908396290700073e-01,0.000000000000000000e+00,-6.962985136215990578e-02,0.000000000000000000e+00,-3.586098826691010155e-02,2.500000000000000888e+00
8.870534939549069975e+01,0.000000000000000000e+00,-6.019184724608943604e+00,0.000000000000000000e+00,-1.100248447306231003e-01,0.000000000000000000e+00,-6.775207924363782497e-02,0.000000000000000000e+00,-4.227276548698527536e-02,2.600000000000000977e+00
8.894271933402981745e+01,0.000000000000000000e+00,-5.883927066412205420e+00,0.000000000000000000e+00,-1.145545049717275055e-01,0.000000000000000000e+00,-6.605786477180075611e-02,0.000000000000000000e+00,-4.849664019992674935e-02,2.700000000000001066e+00
