# u,v,w,phi,theta,psi,alpha,beta,gamma,time
8.702094065872827855e+01,0.000000000000000000e+00,-5.550295778428193216e+00,0.000000000000000000e+00,-6.918192405562533301e-03,0.000000000000000000e+00,-6.369487375370065652e-02,0.000000000000000000e+00,5.677668134813812495e-02,1.700000000000000400e+00
8.717343505599664866e+01,0.000000000000000000e+00,-5.597313092436735360e+00,0.000000000000000000e+00,-1.201774118049115520e-02,0.000000000000000000e+00,-6.412090890595067982e-02,0.000000000000000000e+00,5.210316772545952463e-02,1.800000000000000488e+00
8.733275495743654915e+01,0.000000000000000000e+00,-5.601865409815323105e+00,0.000000000000000000e+00,-1.661081381455546679e-02,0.000000000000000000e+00,-6.405616623379321861e-02,0.000000000000000000e+00,4.744535241923775182e-02,1.900000000000000577e+00
8.749843989871752115e+01,0.000000000000000000e+00,-5.570915532457665797e+00,0.000000000000000000e+00,-2.074382700889806572e-02,0.000000000000000000e+00,-6.358291841727883864e-02,0.000000000000000000e+00,4.283909140838076945e-02,2.000000000000000444e+00
8.766992735160009431e+01,0.000000000000000000e+00,-5.511751437406651633e+00,0.000000000000000000e+00,-2.447275335072187502e-02,0.000000000000000000e+00,-6.278671538556797327e-02,0.000000000000000000e+00,3.831396203484609825e-02,2.100000000000000533e+00
8.784660725390422442e+01,0.000000000000000000e+00,-5.431679185223010187e+00,0.000000000000000000e+00,-2.785970548788573031e-02,0.000000000000000000e+00,-6.175278929672426559e-02,0.000000000000000000e+00,3.389308380883853528e-02,2.200000000000000622e+00
8.802786761952174288e+01,0.000000000000000000e+00,-5.337757247054448762e+00,0.000000000000000000e+00,-3.096977674014071702e-02,0.000000000000000000e+00,-6.056297535351087141e-02,0.000000000000000000e+00,2.959319861337015439e-02,2.300000000000000711e+00
8.821312929443196538e+01,0.000000000000000000e+00,-5.236575487227507431e+00,0.000000000000000000e+00,-3.386821251110268272e-02,0.000000000000000000e+00,-5.929318435223179112e-02,0.000000000000000000e+00,2.542497184112910841e-02,2.400000000000000799e+00
8.840186959318262439e+01,0.000000000000000000e+00,-5.134080308030700479e+00,0.000000000000000000e+00,-3.661796618920332147e-02,0.000000000000000000e+00,-5.801143971834711588e-02,0.000000000000000000e+00,2.139347352914379441e-02,2.500000000000000888e+00
8.859363580277795336e+01,0.000000000000000000e+00,-5.035445893213000623e+00,0.000000000000000000e+00,-3.927767363555177693e-02,0.000000000000000000e+00,-5.677647140495912376e-02,0.000000000000000000e+00,1.749879776940734682e-02,2.600000000000000977e+00
8.878805033361383892e+01,0.000000000000000000e+00,-4.944990073262208519e+00,0.000000000000000000e+00,-4.190006213234037658e-02,0.000000000000000000e+00,-5.563684149921304528e-02,0.000000000000000000e+00,1.373677936687266871e-02,2.700000000000001066e+00
8.898480965482656302e+01,0.000000000000000000e+00,-4.866132090206396477e+00,0.000000000000000000e+00,-4.453079307140647009e-02,0.000000000000000000e+00,-5.463056175521267127e-02,0.000000000000000000e+00,1.009976868380620119e-02,2.800000000000001155e+00
8.918367914723221190e+01,0.000000000000000000e+00,-4.801388482494100884e+00,0.000000000000000000e+00,-4.720772295121896528e-02,0.000000000000000000e+00,-5.378515159134739793e-02,0.000000000000000000e+00,6.577428640128432646e-03,2.900000000000001243e+00
8.938448574112649681e+01,0.000000000000000000e+00,-4.752402462968686514e+00,0.000000000000000000e+00,-4.996055465215443192e-02,0.000000000000000000e+00,-5.311807636996377507e-02,0.000000000000000000e+00,3.157521717809343154e-03,3.000000000000001332e+00
8.958710978653529367e+01,0.000000000000000000e+00,-4.720001542133162253e+00,0.000000000000000000e+00,-5.281084066427162854e-02,0.000000000000000000e+00,-5.263749999051865747e-02,0.000000000000000000e+00,-1.733406737529710751e-04,3.100000000000001421e+00
8.979147712994162589e+01,0.000000000000000000e+00,-4.704277763463499795e+00,0.000000000000000000e+00,-5.577229207822705787e-02,0.000000000000000000e+00,-5.234328288687110919e-02,0.000000000000000000e+00,-3.429009191355948671e-03,3.200000000000001510e+00
8.999755192478312438e+01,0.000000000000000000e+00,-4.704684765868335283e+00,0.000000000000000000e+00,-5.885134177073005068e-02,0.000000000000000000e+00,-5.222815626717856180e-02,0.000000000000000000e+00,-6.623185503551488884e-03,3.300000000000001599e+00
9.020533033863283379e+01,0.000000000000000000e+00,-4.720145958574300415e+00,0.000000000000000000e+00,-6.204790728614970746e-02,0.000000000000000000e+00,-5.227900563746841478e-02,0.000000000000000000e+00,-9.768901648681292682e-03,3.400000000000001688e+00
9.041483506697979067e+01,0.000000000000000000e+00,-4.749168364626283889e+00,0.000000000000000000e+00,-6.535629831172280746e-02,0.000000000000000000e+00,-5.247820100249670633e-02,0.000000000000000000e+00,-1.287809730922610113e-02,3.500000000000001776e+00
9.062611042705984232e+01,0.000000000000000000e+00,-4.789957132387145045e+00,0.000000000000000000e+00,-6.876621515857889166e-02,0.000000000000000000e+00,-5.280491727534982610e-02,0.000000000000000000e+00,-1.596129788322906556e-02,3.600000000000001865e+00
9.083921777178041168e+01,0.000000000000000000e+00,-4.840526296254487271e+00,0.000000000000000000e+00,-7.226378801777953720e-02,0.000000000000000000e+00,-5.323639594326902424e-02,0.000000000000000000e+00,-1.902739207451051295e-02,3.700000000000001954e+00
9.105423100795968594e+01,0.000000000000000000e+00,-4.898802051584177697e+00,0.000000000000000000e+00,-7.583261163063667598e-02,0.000000000000000000e+00,-5.374910750234052070e-02,0.000000000000000000e+00,-2.208350412829615528e-02,3.800000000000002043e+00
9.127123209411750793e+01,0.000000000000000000e+00,-4.962715556819632390e+00,0.000000000000000000e+00,-7.945473603440908472e-02,0.000000000000000000e+00,-5.431978315860745699e-02,0.000000000000000000e+00,-2.513495287580162774e-02,3.900000000000002132e+00
9.149030650077040150e+01,0.000000000000000000e+00,-5.030283051247009141e+00,0.000000000000000000e+00,-8.311158084528966206e-02,0.000000000000000000e+00,-5.492629338852896004e-02,0.000000000000000000e+00,-2.818528745676070202e-02,4.000000000000001776e+00
9.171153871543005209e+01,0.000000000000000000e+00,-5.099671845346554377e+00,0.000000000000000000e+00,-8.678474775559277821e-02,0.000000000000000000e+00,-5.554835978607267077e-02,0.000000000000000000e+00,-3.123638796952010743e-02,4.100000000000001421e+00
9.193500794767712136e+01,0.000000000000000000e+00,-5.169251472049648299e+00,0.000000000000000000e+00,-9.045671321126334818e-02,0.000000000000000000e+00,-5.616809487735314327e-02,0.000000000000000000e+00,-3.428861833391020492e-02,4.200000000000001066e+00
9.216078422758882027e+01,0.000000000000000000e+00,-5.237629956018784227e+00,0.000000000000000000e+00,-9.411139029745761719e-02,0.000000000000000000e+00,-5.677037199814884832e-02,0.000000000000000000e+00,-3.734101829930876887e-02,4.300000000000000711e+00
9.238892509206017678e+01,0.000000000000000000e+00,-5.303675744738857389e+00,0.000000000000000000e+00,-9.773455543977421778e-02,0.000000000000000000e+00,-5.734303371262432225e-02,0.000000000000000000e+00,-4.039152172714989553e-02,4.400000000000000355e+00
9.261947302299557805e+01,0.000000000000000000e+00,-5.366526336145702736e+00,0.000000000000000000e+00,-1.013141414255804423e-01,0.000000000000000000e+00,-5.787695247794438086e-02,0.000000000000000000e+00,-4.343718894763606148e-02,4.500000000000000000e+00
9.285245374782580541e+01,0.000000000000000000e+00,-5.425585025029905140e+00,0.000000000000000000e+00,-1.048404033174963612e-01,0.000000000000000000e+00,-5.836596126808021173e-02,0.000000000000000000e+00,-4.647444204941614948e-02,4.599999999999999645e+00
9.308787544700049921e+01,0.000000000000000000e+00,-5.480507472309962935e+00,0.000000000000000000e+00,-1.083059679767595235e-01,0.000000000000000000e+00,-5.880667465811179051e-02,0.000000000000000000e+00,-4.949929331864773296e-02,4.699999999999999289e+00
9.332572884551812820e+01,0.000000000000000000e+00,-5.531179979999409468e+00,0.000000000000000000e+00,-1.117057810950061458e-01,0.000000000000000000e+00,-5.919822248520330982e-02,0.000000000000000000e+00,-5.250755860980283601e-02,4.799999999999998934e+00
9.356598810502350716e+01,0.000000000000000000e+00,-5.577691436733210217e+00,0.000000000000000000e+00,-1.150369678503915388e-01,0.000000000000000000e+00,-5.954191873282695807e-02,0.000000000000000000e+00,-5.549504911756458075e-02,4.899999999999998579e+00
9.380861238579976202e+01,0.000000000000000000e+00,-5.620300893498797024e+00,0.000000000000000000e+00,-1.182986245970736733e-01,0.000000000000000000e+00,-5.984088785095293545e-02,0.000000000000000000e+00,-5.845773674612073784e-02,4.999999999999998224e+00
9.405354791749223864e+01,0.000000000000000000e+00,-5.659402648273424319e+00,0.000000000000000000e+00,-1.214915594356737183e-01,0.000000000000000000e+00,-6.009966946911958485e-02,0.000000000000000000e+00,-6.139188996655413344e-02,5.099999999999997868e+00
9.430073040428371201e+01,0.000000000000000000e+00,-5.695490574444420417e+00,0.000000000000000000e+00,-1.246179991897037737e-01,0.000000000000000000e+00,-6.032382053710143299e-02,0.000000000000000000e+00,-6.429417865260234066e-02,5.199999999999997513e+00
9.455008759293167486e+01,0.000000000000000000e+00,-5.729123234641065210e+00,0.000000000000000000e+00,-1.276812793391235712e-01,0.000000000000000000e+00,-6.051953150019893229e-02,0.000000000000000000e+00,-6.716174783892464584e-02,5.299999999999997158e+00
9.480154184749341084e+01,0.000000000000000000e+00,-5.760891092441980277e+00,0.000000000000000000e+00,-1.306855319575818131e-01,0.000000000000000000e+00,-6.069327034239125479e-02,0.000000000000000000e+00,-6.999226161519056522e-02,5.399999999999996803e+00
9.505501259883456555e+01,0.000000000000000000e+00,-5.791386882433662286e+00,0.000000000000000000e+00,-1.336353847896940006e-01,0.000000000000000000e+00,-6.085146536296694858e-02,0.000000000000000000e+00,-7.278391942672704507e-02,5.499999999999996447e+00
9.531041856616054986e+01,0.000000000000000000e+00,-5.821179936599739868e+00,0.000000000000000000e+00,-1.365356824138429515e-01,0.000000000000000000e+00,-6.100023453128229634e-02,0.000000000000000000e+00,-7.553544788256065512e-02,5.599999999999996092e+00
9.556767967825287258e+01,0.000000000000000000e+00,-5.850795003262063254e+00,0.000000000000000000e+00,-1.393912380848306154e-01,0.000000000000000000e+00,-6.114516631521581952e-02,0.000000000000000000e+00,-7.824607176961478894e-02,5.699999999999995737e+00
9.582671865100597586e+01,0.000000000000000000e+00,-5.880695843717822946e+00,0.000000000000000000e+00,-1.422066224513971466e-01,0.000000000000000000e+00,-6.129115410904017319e-02,0.000000000000000000e+00,-8.091546834235696650e-02,5.799999999999995381e+00
9.608746220330903043e+01,0.000000000000000000e+00,-5.911273659782986023e+00,0.000000000000000000e+00,-1.449859929970422068e-01,0.000000000000000000e+00,-6.144228388356438170e-02,0.000000000000000000e+00,-8.354370911347783202e-02,5.899999999999995026e+00
9.634984191425049005e+01,0.000000000000000000e+00,-5.942840199508740540e+00,0.000000000000000000e+00,-1.477329658459872463e-01,0.000000000000000000e+00,-6.160177251272395960e-02,0.000000000000000000e+00,-8.613119333326328675e-02,5.999999999999994671e+00
9.661379474074739448e+01,0.000000000000000000e+00,-5.975625213534923041e+00,0.000000000000000000e+00,-1.504505295813964305e-01,0.000000000000000000e+00,-6.177195244279692216e-02,0.000000000000000000e+00,-8.867857713859950142e-02,6.099999999999994316e+00
9.687926322628209164e+01,0.000000000000000000e+00,-6.009777794307542997e+00,0.000000000000000000e+00,-1.531409989955679340e-01,0.000000000000000000e+00,-6.195429698935338986e-02,0.000000000000000000e+00,-9.118670200621453725e-02,6.199999999999993960e+00
9.714619543907549826e+01,0.000000000000000000e+00,-6.045371026442726503e+00,0.000000000000000000e+00,-1.558060052702814058e-01,0.000000000000000000e+00,-6.214947958005349882e-02,0.000000000000000000e+00,-9.365652569022790697e-02,6.299999999999993605e+00
9.741454468249060028e+01,0.000000000000000000e+00,-6.082409308978213858e+00,0.000000000000000000e+00,-1.584465179917443345e-01,0.000000000000000000e+00,-6.235745969823714568e-02,0.000000000000000000e+00,-9.608905829350719574e-02,6.399999999999993250e+00
9.768426902248040733e+01,0.000000000000000000e+00,-6.120837677751369554e+00,0.000000000000000000e+00,-1.610628936446771020e-01,0.000000000000000000e+00,-6.257758809742737516e-02,0.000000000000000000e+00,-9.848530554724972685e-02,6.499999999999992895e+00
9.795533067709233421e+01,0.000000000000000000e+00,-6.160552456026163526e+00,0.000000000000000000e+00,-1.636549447956027747e-01,0.000000000000000000e+00,-6.280872401228757007e-02,0.000000000000000000e+00,-1.008462207833152047e-01,6.599999999999992539e+00
9.822769531187472580e+01,0.000000000000000000e+00,-6.201412590045524809e+00,0.000000000000000000e+00,-1.662220240453090303e-01,0.000000000000000000e+00,-6.304935753933230136e-02,0.000000000000000000e+00,-1.031726665059767289e-01,6.699999999999992184e+00
9.850133128279908590e+01,0.000000000000000000e+00,-6.243251078887764649e+00,0.000000000000000000e+00,-1.687631169732348169e-01,0.000000000000000000e+00,-6.329773104610220136e-02,0.000000000000000000e+00,-1.054653859271326155e-01,6.799999999999991829e+00
9.877620886518408838e+01,0.000000000000000000e+00,-6.285885979796887568e+00,0.000000000000000000e+00,-1.712769386727026610e-01,0.000000000000000000e+00,-6.355195433209454015e-02,0.000000000000000000e+00,-1.077249843406081209e-01,6.899999999999991473e+00
9.905229950317932719e+01,0.000000000000000000e+00,-6.329130555710272610e+00,0.000000000000000000e+00,-1.737620290405136325e-01,0.000000000000000000e+00,-6.381010924910976434e-02,0.000000000000000000e+00,-1.099519197914038682e-01,6.999999999999991118e+00
9.932957510971036186e+01,0.000000000000000000e+00,-6.372802225688950273e+00,0.000000000000000000e+00,-1.762168426895729390e-01,0.000000000000000000e+00,-6.407034053518716188e-02,0.000000000000000000e+00,-1.121465021543857771e-01,7.099999999999990763e+00
9.960800744149537422e+01,0.000000000000000000e+00,-6.416730076257836757e+00,0.000000000000000000e+00,-1.786398301505381092e-01,0.000000000000000000e+00,-6.433093067137067578e-02,0.000000000000000000e+00,-1.143088994791674334e-01,7.199999999999990408e+00
9.988756756795808656e+01,0.000000000000000000e+00,-6.460760787606526279e+00,0.000000000000000000e+00,-1.810295078712741423e-01,0.000000000000000000e+00,-6.459035758651798798e-02,0.000000000000000000e+00,-1.164391502847561544e-01,7.299999999999990052e+00
1.001682254467809230e+02,0.000000000000000000e+00,-6.504762919097085039e+00,0.000000000000000000e+00,-1.833845153680006557e-01,0.000000000000000000e+00,-6.484733497197453511e-02,0.000000000000000000e+00,-1.185371803960261206e-01,7.399999999999989697e+00
1.004499496127120182e+02,0.000000000000000000e+00,-6.548629580193927602e+00,0.000000000000000000e+00,-1.857036586913329013e-01,0.000000000000000000e+00,-6.510083579323129588e-02,0.000000000000000000e+00,-1.206028228981016054e-01,7.499999999999989342e+00
1.007327069803338020e+02,0.000000000000000000e+00,-6.592279583174757818e+00,0.000000000000000000e+00,-1.879859401120289875e-01,0.000000000000000000e+00,-6.535010027652472797e-02,0.000000000000000000e+00,-1.226358398355042595e-01,7.599999999999988987e+00
1.010164627560931905e+02,0.000000000000000000e+00,-6.635657231014901569e+00,0.000000000000000000e+00,-1.902305745801341486e-01,0.000000000000000000e+00,-6.559463019039005194e-02,0.000000000000000000e+00,-1.246359443897440966e-01,7.699999999999988631e+00
1.013011804502284718e+02,0.000000000000000000e+00,-6.678730936675729701e+00,0.000000000000000000e+00,-1.924369940495421760e-01,0.000000000000000000e+00,-6.583417162955865209e-02,0.000000000000000000e+00,-1.266028224199835239e-01,7.799999999999988276e+00
1.015868219754975428e+02,0.000000000000000000e+00,-6.721490898442331385e+00,0.000000000000000000e+00,-1.946048411771301445e-01,0.000000000000000000e+00,-6.606868874313452655e-02,0.000000000000000000e+00,-1.285361524339956318e-01,7.899999999999987921e+00
1.018733478169397557e+02,0.000000000000000000e+00,-6.763946070397923727e+00,0.000000000000000000e+00,-1.967339541977339845e-01,0.000000000000000000e+00,-6.629833093926693066e-02,0.000000000000000000e+00,-1.304356232584670539e-01,7.999999999999987566e+00
1.021607172553348448e+02,0.000000000000000000e+00,-6.806120668627989367e+00,0.000000000000000000e+00,-1.988243449456743583e-01,0.000000000000000000e+00,-6.652339605868999584e-02,0.000000000000000000e+00,-1.323009488869843486e-01,8.099999999999987210e+00
1.024488886265293530e+02,0.000000000000000000e+00,-6.848050443821903421e+00,0.000000000000000000e+00,-2.008761720480237711e-01,0.000000000000000000e+00,-6.674429185791809493e-02,0.000000000000000000e+00,-1.341318801901056901e-01,8.199999999999986855e+00
1.027378195992891534e+02,0.000000000000000000e+00,-6.889778931439360043e+00,0.000000000000000000e+00,-2.028897112664085067e-01,0.000000000000000000e+00,-6.696149790087994880e-02,0.000000000000000000e+00,-1.359282133655285718e-01,8.299999999999986500e+00
1.030274674556620340e+02,0.000000000000000000e+00,-6.931353863614169164e+00,0.000000000000000000e+00,-2.048653248282475414e-01,0.000000000000000000e+00,-6.717552964825138084e-02,0.000000000000000000e+00,-1.376897951799961606e-01,8.399999999999986144e+00
1.033177893598184056e+02,0.000000000000000000e+00,-6.972823894664899491e+00,0.000000000000000000e+00,-2.068034313825399817e-01,0.000000000000000000e+00,-6.738690617996043186e-02,0.000000000000000000e+00,-1.394165252025795498e-01,8.499999999999985789e+00
1.036087426037866095e+02,0.000000000000000000e+00,-7.014235756648715459e+00,0.000000000000000000e+00,-2.087044779583452914e-01,0.000000000000000000e+00,-6.759612261077492523e-02,0.000000000000000000e+00,-1.411083553475703800e-01,8.599999999999985434e+00
1.039002848212183494e+02,0.000000000000000000e+00,-7.055631924902291630e+00,0.000000000000000000e+00,-2.105689150148084832e-01,0.000000000000000000e+00,-6.780362788229078730e-02,0.000000000000000000e+00,-1.427652871325176820e-01,8.699999999999985079e+00
1.041923741631273685e+02,0.000000000000000000e+00,-7.097048837840351787e+00,0.000000000000000000e+00,-2.123971753680383434e-01,0.000000000000000000e+00,-6.800980825527111473e-02,0.000000000000000000e+00,-1.443873671127672287e-01,8.799999999999984723e+00
1.044849694322819289e+02,0.000000000000000000e+00,-7.138515682047309241e+00,0.000000000000000000e+00,-2.141896574788871022e-01,0.000000000000000000e+00,-6.821497649931607121e-02,0.000000000000000000e+00,-1.459746809795710309e-01,8.899999999999984368e+00
1.047780301754667107e+02,0.000000000000000000e+00,-7.180053724212878130e+00,0.000000000000000000e+00,-2.159467133010926354e-01,0.000000000000000000e+00,-6.841936649401796078e-02,0.000000000000000000e+00,-1.475273468070746885e-01,8.999999999999984013e+00
1.050715167350620760e+02,0.000000000000000000e+00,-7.221676146704886889e+00,0.000000000000000000e+00,-2.176686406331336809e-01,0.000000000000000000e+00,-6.862313272522588270e-02,0.000000000000000000e+00,-1.490455079079077982e-01,9.099999999999983658e+00
1.053653902632471784e+02,0.000000000000000000e+00,-7.263388324173224220e+00,0.000000000000000000e+00,-2.193556796984661994e-01,0.000000000000000000e+00,-6.882635398640032931e-02,0.000000000000000000e+00,-1.505293257120658701e-01,9.199999999999983302e+00
1.056596127035768120e+02,0.000000000000000000e+00,-7.305188464831919859e+00,0.000000000000000000e+00,-2.210080135035571436e-01,0.000000000000000000e+00,-6.902904047950507438e-02,0.000000000000000000e+00,-1.519789730240520553e-01,9.299999999999982947e+00
1.059541467456938619e+02,0.000000000000000000e+00,-7.347068531951955528e+00,0.000000000000000000e+00,-2.226257713944149175e-01,0.000000000000000000e+00,-6.923114345066101738e-02,0.000000000000000000e+00,-1.533946279437539140e-01,9.399999999999982592e+00
1.062489557595277176e+02,0.000000000000000000e+00,-7.389015358317951865e+00,0.000000000000000000e+00,-2.242090351505314494e-01,0.000000000000000000e+00,-6.943256648849344126e-02,0.000000000000000000e+00,-1.547764686620380081e-01,9.499999999999982236e+00
1.065440037155181585e+02,0.000000000000000000e+00,-7.431011868428338829e+00,0.000000000000000000e+00,-2.257578469182925374e-01,0.000000000000000000e+00,-6.963317765130820625e-02,0.000000000000000000e+00,-1.561246692669843172e-01,9.599999999999981881e+00
1.068392550972372561e+02,0.000000000000000000e+00,-7.473038329342991837e+00,0.000000000000000000e+00,-2.272722182899588050e-01,0.000000000000000000e+00,-6.983282166500995314e-02,0.000000000000000000e+00,-1.574393966249488519e-01,9.699999999999981526e+00
1.071346748123099957e+02,0.000000000000000000e+00,-7.515073560474026415e+00,0.000000000000000000e+00,-2.287521398736725442e-01,0.000000000000000000e+00,-7.003133153819936230e-02,0.000000000000000000e+00,-1.587208083354731958e-01,9.799999999999981171e+00
1.074302281068197402e+02,0.000000000000000000e+00,-7.557096044377169974e+00,0.000000000000000000e+00,-2.301975907679125188e-01,0.000000000000000000e+00,-7.022853906497075749e-02,0.000000000000000000e+00,-1.599690517029417614e-01,9.899999999999980815e+00
1.077258804874926881e+02,0.000000000000000000e+00,-7.599084893822673159e+00,0.000000000000000000e+00,-2.316085474430820412e-01,0.000000000000000000e+00,-7.042428382055422598e-02,0.000000000000000000e+00,-1.611842636225278014e-01,9.999999999999980460e+00
1.080215976549537658e+02,0.000000000000000000e+00,-7.641020644231200976e+00,0.000000000000000000e+00,-2.329849916359861828e-01,0.000000000000000000e+00,-7.061842039168586549e-02,0.000000000000000000e+00,-1.623665712443003173e-01,1.009999999999998010e+01
1.083173454502994701e+02,0.000000000000000000e+00,-7.682885854153108873e+00,0.000000000000000000e+00,-2.343269169725782364e-01,0.000000000000000000e+00,-7.081082371499196337e-02,0.000000000000000000e+00,-1.635160932575862591e-01,1.019999999999997975e+01
1.086130898162022049e+02,0.000000000000000000e+00,-7.724665509159808430e+00,0.000000000000000000e+00,-2.356343341438707217e-01,0.000000000000000000e+00,-7.100139251651660377e-02,0.000000000000000000e+00,-1.646329416273541180e-01,1.029999999999997939e+01
1.089087967727980555e+02,0.000000000000000000e+00,-7.766347235746884792e+00,0.000000000000000000e+00,-2.369072745635054100e-01,0.000000000000000000e+00,-7.119005094899746866e-02,0.000000000000000000e+00,-1.657172236145079414e-01,1.039999999999997904e+01
1.092044324077589437e+02,0.000000000000000000e+00,-7.807921341209782540e+00,0.000000000000000000e+00,-2.381457925284232169e-01,0.000000000000000000e+00,-7.137674860727963311e-02,0.000000000000000000e+00,-1.667690439211435838e-01,1.049999999999997868e+01
