u,v,w,p,q,r,phi,theta,psi,time
230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
229.92317402319938,0.0,-0.02773613030575215,0.0,-0.011582101926745648,0.0,0.0,0.1,0.0,0.01
229.8464015751823,0.0,-0.08068927660330677,0.0,-0.022706135031110488,0.0,0.0,0.09988417898073255,0.0,0.02
229.7696726568474,0.0,-0.15728393113367778,0.0,-0.03334801274266978,0.0,0.0,0.09965711763042145,0.0,0.03
229.6929711974786,0.0,-0.25592576376572,0.0,-0.0434870587562691,0.0,0.0,0.09932363750299476,0.0,0.04
229.61627665391163,0.0,-0.3750096577536823,0.0,-0.05310591507916334,0.0,0.0,0.09888876691543207,0.0,0.05
229.53956550760117,0.0,-0.512927355104436,0.0,-0.06219043979480739,0.0,0.0,0.09835770776464044,0.0,0.060000000000000005
229.46281264276737,0.0,-0.668074698933984,0.0,-0.07072959561438212,0.0,0.0,0.09773580336669237,0.0,0.07
229.38599259273727,0.0,-0.8388584626053214,0.0,-0.07871533027425336,0.0,0.0,0.09702850741054854,0.0,0.08
229.30908064534594,0.0,-1.0237027577660613,0.0,-0.08614244981916118,0.0,0.0,0.096241354107806,0.0,0.09
229.23205380177492,0.0,-1.2210550156463937,0.0,-0.09300848578751333,0.0,0.0,0.09537992960961439,0.0,0.09999999999999999
229.15489158644644,0.0,-1.4293915381364426,0.0,-0.09931355728720144,0.0,0.0,0.09444984475173926,0.0,0.10999999999999999
229.07757670853226,0.0,-1.647222617236044,0.0,-0.10506022891836406,0.0,0.0,0.09345670917886724,0.0,0.11999999999999998
229.00009557825564,0.0,-1.8730972234572458,0.0,-0.11025336546397041,0.0,0.0,0.09240610688968359,0.0,0.12999999999999998
228.92243868345187,0.0,-2.105607265657241,0.0,-0.11489998423046967,0.0,0.0,0.09130357323504389,0.0,0.13999999999999999
228.84460083380196,0.0,-2.343391426582937,0.0,-0.11900910587950735,0.0,0.0,0.09015457339273919,0.0,0.15
228.76658128176675,0.0,-2.5851385801133775,0.0,-0.12259160454830181,0.0,0.0,0.08896448233394412,0.0,0.16
