u,v,w,p,q,r,phi,theta,psi,time
85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
85.11825006834434,0.0,2.0670478222423756,0.0,-0.023822440673270797,0.0,0.0,0.1,0.0,0.1
85.21661761114166,0.0,3.7963845611852625,0.0,-0.05168293161333466,0.0,0.0,0.09761775593267293,0.0,0.2
85.31589105959503,0.0,5.177690834996808,0.0,-0.08213866320800244,0.0,0.0,0.09244946277133946,0.0,0.30000000000000004
85.4330476962328,0.0,6.2135351420519385,0.0,-0.11383494786091447,0.0,0.0,0.08423559645053921,0.0,0.4
85.58022877721635,0.0,6.917485028586563,0.0,-0.14554321838254713,0.0,0.0,0.07285210166444776,0.0,0.5
85.7645526156579,0.0,7.312097032729979,0.0,-0.17619057229269494,0.0,0.0,0.05829777982619305,0.0,0.6
85.98858676029079,0.0,7.426912550430369,0.0,-0.2048799353251106,0.0,0.0,0.04067872259692355,0.0,0.7
86.25125984161524,0.0,7.296539534499621,0.0,-0.23090079842992745,0.0,0.0,0.020190729064412494,0.0,0.7999999999999999
86.5489916212671,0.0,6.9588627062543225,0.0,-0.2537311606686549,0.0,0.0,-0.002899350778580251,0.0,0.8999999999999999
86.87684667754279,0.0,6.453402631053018,0.0,-0.2730317642120346,0.0,0.0,-0.028272466845445744,0.0,0.9999999999999999
87.22956201638888,0.0,5.819835216934187,0.0,-0.28863396341607644,0.0,0.0,-0.05557564326664921,0.0,1.0999999999999999
87.60235146675741,0.0,5.096682999061484,0.0,-0.3005226734491045,0.0,0.0,-0.08443903960825686,0.0,1.2
87.99144156621146,0.0,4.320192240680133,0.0,-0.30881584005179147,0.0,0.0,-0.11449130695316731,0.0,1.3
88.39433855309676,0.0,3.523410922056134,0.0,-0.31374179489760545,0.0,0.0,-0.14537289095834646,0.0,1.4000000000000001
88.80986013815273,0.0,2.7354798118023393,0.0,-0.31561573316402014,0.0,0.0,-0.176747070448107,0.0,1.5000000000000002
89.23798721240541,0.0,1.9811419209254808,0.0,-0.3148163859957284,0.0,0.0,-0.20830864376450903,0.0,1.6000000000000003
89.67959979363197,0.0,1.2804661716059162,0.0,-0.311763772212191,0.0,0.0,-0.23979028236408187,0.0,1.7000000000000004
90.13616009892718,0.0,0.6487711616326426,0.0,-0.3068987128003102,0.0,0.0,-0.270966659585301,0.0,1.8000000000000005
90.60939643108053,0.0,0.09672640829475798,0.0,-0.3006645914456915,0.0,0.0,-0.301656530865332,0.0,1.9000000000000006
91.10102774942072,0.0,-0.3693973196475426,0.0,-0.29349165759060064,0.0,0.0,-0.33172299000990113,0.0,2.0000000000000004
91.61255337208753,0.0,-0.7473595988956525,0.0,-0.28578400627746964,0.0,0.0,-0.3610721557689612,0.0,2.1000000000000005
